PUMA,county1,county2,county3,county4,county5,county6,county7
101,Alameda CA,,,,,,
102,Alameda CA,,,,,,
103,Alameda CA,,,,,,
104,Alameda CA,,,,,,
105,Alameda CA,,,,,,
106,Alameda CA,,,,,,
107,Alameda CA,,,,,,
108,Alameda CA,,,,,,
109,Alameda CA,,,,,,
110,Alameda CA,,,,,,
300,Multiple CA,Amador CA,Calaveras CA,Inyo CA,Mariposa CA,Mono CA,Tuolumne CA
701,Butte CA,,,,,,
702,Butte CA,,,,,,
1100,Multiple CA,Glenn CA,Tehama CA,Trinity CA,,,
1301,Contra Costa CA,,,,,,
1302,Contra Costa CA,,,,,,
1303,Contra Costa CA,,,,,,
1304,Contra Costa CA,,,,,,
1305,Contra Costa CA,,,,,,
1306,Contra Costa CA,,,,,,
1307,Contra Costa CA,,,,,,
1308,Contra Costa CA,,,,,,
1309,Contra Costa CA,,,,,,
1500,Multiple CA,Lassen CA,Modoc CA,Plumas CA,Siskiyou CA,,
1700,El Dorado CA,,,,,,
1901,Fresno CA,,,,,,
1902,Fresno CA,,,,,,
1903,Fresno CA,,,,,,
1904,Fresno CA,,,,,,
1905,Fresno CA,,,,,,
1906,Fresno CA,,,,,,
1907,Fresno CA,,,,,,
2300,Humboldt CA,,,,,,
2500,Imperial CA,,,,,,
2901,Kern CA,,,,,,
2902,Kern CA,,,,,,
2903,Kern CA,,,,,,
2904,Kern CA,,,,,,
2905,Kern CA,,,,,,
3100,Kings CA,,,,,,
3300,Multiple CA,Mendocino CA,,,,,
3701,Los Angeles CA,,,,,,
3702,Los Angeles CA,,,,,,
3703,Los Angeles CA,,,,,,
3704,Los Angeles CA,,,,,,
3705,Los Angeles CA,,,,,,
3706,Los Angeles CA,,,,,,
3707,Los Angeles CA,,,,,,
3708,Los Angeles CA,,,,,,
3709,Los Angeles CA,,,,,,
3710,Los Angeles CA,,,,,,
3711,Los Angeles CA,,,,,,
3712,Los Angeles CA,,,,,,
3713,Los Angeles CA,,,,,,
3714,Los Angeles CA,,,,,,
3715,Los Angeles CA,,,,,,
3716,Los Angeles CA,,,,,,
3717,Los Angeles CA,,,,,,
3718,Los Angeles CA,,,,,,
3719,Los Angeles CA,,,,,,
3720,Los Angeles CA,,,,,,
3721,Los Angeles CA,,,,,,
3722,Los Angeles CA,,,,,,
3723,Los Angeles CA,,,,,,
3724,Los Angeles CA,,,,,,
3725,Los Angeles CA,,,,,,
3726,Los Angeles CA,,,,,,
3727,Los Angeles CA,,,,,,
3728,Los Angeles CA,,,,,,
3729,Los Angeles CA,,,,,,
3730,Los Angeles CA,,,,,,
3731,Los Angeles CA,,,,,,
3732,Los Angeles CA,,,,,,
3733,Los Angeles CA,,,,,,
3734,Los Angeles CA,,,,,,
3735,Los Angeles CA,,,,,,
3736,Los Angeles CA,,,,,,
3737,Los Angeles CA,,,,,,
3738,Los Angeles CA,,,,,,
3739,Los Angeles CA,,,,,,
3740,Los Angeles CA,,,,,,
3741,Los Angeles CA,,,,,,
3742,Los Angeles CA,,,,,,
3743,Los Angeles CA,,,,,,
3744,Los Angeles CA,,,,,,
3745,Los Angeles CA,,,,,,
3746,Los Angeles CA,,,,,,
3747,Los Angeles CA,,,,,,
3748,Los Angeles CA,,,,,,
3749,Los Angeles CA,,,,,,
3750,Los Angeles CA,,,,,,
3751,Los Angeles CA,,,,,,
3752,Los Angeles CA,,,,,,
3753,Los Angeles CA,,,,,,
3754,Los Angeles CA,,,,,,
3755,Los Angeles CA,,,,,,
3756,Los Angeles CA,,,,,,
3757,Los Angeles CA,,,,,,
3758,Los Angeles CA,,,,,,
3759,Los Angeles CA,,,,,,
3760,Los Angeles CA,,,,,,
3761,Los Angeles CA,,,,,,
3762,Los Angeles CA,,,,,,
3763,Los Angeles CA,,,,,,
3764,Los Angeles CA,,,,,,
3765,Los Angeles CA,,,,,,
3766,Los Angeles CA,,,,,,
3767,Los Angeles CA,,,,,,
3768,Los Angeles CA,,,,,,
3769,Los Angeles CA,,,,,,
3900,Madera CA,,,,,,
4101,Marin CA,,,,,,
4102,Marin CA,,,,,,
4701,Merced CA,,,,,,
4702,Merced CA,,,,,,
5301,Monterey CA,,,,,,
5302,Monterey CA,,,,,,
5303,Multiple CA,San Benito CA,,,,,
5500,Napa CA,,,,,,
5700,Multiple CA,Sierra CA,,,,,
5901,Orange CA,,,,,,
5902,Orange CA,,,,,,
5903,Orange CA,,,,,,
5904,Orange CA,,,,,,
5905,Orange CA,,,,,,
5906,Orange CA,,,,,,
5907,Orange CA,,,,,,
5908,Orange CA,,,,,,
5909,Orange CA,,,,,,
5910,Orange CA,,,,,,
5911,Orange CA,,,,,,
5912,Orange CA,,,,,,
5913,Orange CA,,,,,,
5914,Orange CA,,,,,,
5915,Orange CA,,,,,,
5916,Orange CA,,,,,,
5917,Orange CA,,,,,,
5918,Orange CA,,,,,,
6101,Placer CA,,,,,,
6102,Placer CA,,,,,,
6103,Placer CA,,,,,,
6501,Riverside CA,,,,,,
6502,Riverside CA,,,,,,
6503,Riverside CA,,,,,,
6504,Riverside CA,,,,,,
6505,Riverside CA,,,,,,
6506,Riverside CA,,,,,,
6507,Riverside CA,,,,,,
6508,Riverside CA,,,,,,
6509,Riverside CA,,,,,,
6510,Riverside CA,,,,,,
6511,Riverside CA,,,,,,
6512,Riverside CA,,,,,,
6513,Riverside CA,,,,,,
6514,Riverside CA,,,,,,
6515,Riverside CA,,,,,,
6701,Sacramento CA,,,,,,
6702,Sacramento CA,,,,,,
6703,Sacramento CA,,,,,,
6704,Sacramento CA,,,,,,
6705,Sacramento CA,,,,,,
6706,Sacramento CA,,,,,,
6707,Sacramento CA,,,,,,
6708,Sacramento CA,,,,,,
6709,Sacramento CA,,,,,,
6710,Sacramento CA,,,,,,
6711,Sacramento CA,,,,,,
6712,Sacramento CA,,,,,,
7101,San Bernardino CA,,,,,,
7102,San Bernardino CA,,,,,,
7103,San Bernardino CA,,,,,,
7104,San Bernardino CA,,,,,,
7105,San Bernardino CA,,,,,,
7106,San Bernardino CA,,,,,,
7107,San Bernardino CA,,,,,,
7108,San Bernardino CA,,,,,,
7109,San Bernardino CA,,,,,,
7110,San Bernardino CA,,,,,,
7111,San Bernardino CA,,,,,,
7112,San Bernardino CA,,,,,,
7113,San Bernardino CA,,,,,,
7114,San Bernardino CA,,,,,,
7115,San Bernardino CA,,,,,,
7301,San Diego CA,,,,,,
7302,San Diego CA,,,,,,
7303,San Diego CA,,,,,,
7304,San Diego CA,,,,,,
7305,San Diego CA,,,,,,
7306,San Diego CA,,,,,,
7307,San Diego CA,,,,,,
7308,San Diego CA,,,,,,
7309,San Diego CA,,,,,,
7310,San Diego CA,,,,,,
7311,San Diego CA,,,,,,
7312,San Diego CA,,,,,,
7313,San Diego CA,,,,,,
7314,San Diego CA,,,,,,
7315,San Diego CA,,,,,,
7316,San Diego CA,,,,,,
7317,San Diego CA,,,,,,
7318,San Diego CA,,,,,,
7319,San Diego CA,,,,,,
7320,San Diego CA,,,,,,
7321,San Diego CA,,,,,,
7322,San Diego CA,,,,,,
7501,San Francisco CA,,,,,,
7502,San Francisco CA,,,,,,
7503,San Francisco CA,,,,,,
7504,San Francisco CA,,,,,,
7505,San Francisco CA,,,,,,
7506,San Francisco CA,,,,,,
7507,San Francisco CA,,,,,,
7701,San Joaquin CA,,,,,,
7702,San Joaquin CA,,,,,,
7703,San Joaquin CA,,,,,,
7704,San Joaquin CA,,,,,,
7901,San Luis Obispo CA,,,,,,
7902,San Luis Obispo CA,,,,,,
8101,San Mateo CA,,,,,,
8102,San Mateo CA,,,,,,
8103,San Mateo CA,,,,,,
8104,San Mateo CA,,,,,,
8105,San Mateo CA,,,,,,
8106,San Mateo CA,,,,,,
8301,Santa Barbara CA,,,,,,
8302,Santa Barbara CA,,,,,,
8303,Santa Barbara CA,,,,,,
8501,Santa Clara CA,,,,,,
8502,Santa Clara CA,,,,,,
8503,Santa Clara CA,,,,,,
8504,Santa Clara CA,,,,,,
8505,Santa Clara CA,,,,,,
8506,Santa Clara CA,,,,,,
8507,Santa Clara CA,,,,,,
8508,Santa Clara CA,,,,,,
8509,Santa Clara CA,,,,,,
8510,Santa Clara CA,,,,,,
8511,Santa Clara CA,,,,,,
8512,Santa Clara CA,,,,,,
8513,Santa Clara CA,,,,,,
8514,Santa Clara CA,,,,,,
8701,Santa Cruz CA,,,,,,
8702,Santa Cruz CA,,,,,,
8900,Shasta CA,,,,,,
9501,Solano CA,,,,,,
9502,Solano CA,,,,,,
9503,Solano CA,,,,,,
9701,Sonoma CA,,,,,,
9702,Sonoma CA,,,,,,
9703,Sonoma CA,,,,,,
9901,Stanislaus CA,,,,,,
9902,Stanislaus CA,,,,,,
9903,Stanislaus CA,,,,,,
9904,Stanislaus CA,,,,,,
10100,Multiple CA,Yuba CA,,,,,
10701,Tulare CA,,,,,,
10702,Tulare CA,,,,,,
10703,Tulare CA,,,,,,
11101,Ventura CA,,,,,,
11102,Ventura CA,,,,,,
11103,Ventura CA,,,,,,
11104,Ventura CA,,,,,,
11105,Ventura CA,,,,,,
11106,Ventura CA,,,,,,
11300,Yolo CA,,,,,,